period,group_name,ratio
2025-02-13,겨울,0.04248
2025-02-14,겨울,0.04016
2025-02-15,겨울,0.03218
2025-02-16,겨울,0.03599
2025-02-17,겨울,0.03469
2025-02-18,겨울,0.03951
2025-02-19,겨울,0.04063
2025-02-20,겨울,0.03664
2025-02-21,겨울,0.03163
2025-02-22,겨울,0.03191
2025-02-23,겨울,0.03339
2025-02-24,겨울,0.03487
2025-02-25,겨울,0.03506
2025-02-26,겨울,0.03014
2025-02-27,겨울,0.03311
2025-02-28,겨울,0.03061
2025-03-01,겨울,0.02476
2025-03-02,겨울,0.02254
2025-03-03,겨울,0.02912
2025-03-04,겨울,0.03246
2025-03-05,겨울,0.02513
2025-03-06,겨울,0.02773
2025-03-07,겨울,0.0243
2025-03-08,겨울,0.01901
2025-03-09,겨울,0.02077
2025-03-10,겨울,0.02142
2025-03-11,겨울,0.02207
2025-03-12,겨울,0.0204
2025-03-13,겨울,0.02254
2025-03-14,겨울,0.0179
2025-03-15,겨울,0.01716
2025-03-16,겨울,0.02597
2025-03-17,겨울,0.02959
2025-03-18,겨울,0.03756
2025-03-19,겨울,0.02411
2025-03-20,겨울,0.02096
2025-03-21,겨울,0.01957
2025-03-22,겨울,0.01734
2025-03-23,겨울,0.01771
2025-03-24,겨울,0.02133
2025-03-25,겨울,0.02077
2025-03-26,겨울,0.01651
2025-03-27,겨울,0.01901
2025-03-28,겨울,0.02133
2025-03-29,겨울,0.02152
2025-03-30,겨울,0.02142
2025-03-31,겨울,0.02003
2025-04-01,겨울,0.01948
2025-04-02,겨울,0.01957
2025-04-03,겨울,0.02031
2025-04-04,겨울,0.01883
2025-04-05,겨울,0.01641
2025-04-06,겨울,0.01734
2025-04-07,겨울,0.01855
2025-04-08,겨울,0.02059
2025-04-09,겨울,0.02829
2025-04-10,겨울,0.02467
2025-04-11,겨울,0.02384
2025-04-12,겨울,0.02087
2025-04-13,겨울,0.02486
2025-04-14,겨울,0.02513
2025-04-15,겨울,0.01808
2025-04-16,겨울,0.01892
2025-04-17,겨울,0.01864
2025-04-18,겨울,0.01484
2025-04-19,겨울,0.01252
2025-04-20,겨울,0.01558
2025-04-21,겨울,0.01697
2025-04-22,겨울,0.01994
2025-04-23,겨울,0.01697
2025-04-24,겨울,0.01716
2025-04-25,겨울,0.01178
2025-04-26,겨울,0.01224
2025-04-27,겨울,0.01326
2025-04-28,겨울,0.0268
2025-04-29,겨울,0.01484
2025-04-30,겨울,0.0141
2025-05-01,겨울,0.01307
2025-05-02,겨울,0.01307
2025-05-03,겨울,0.0114
2025-05-04,겨울,0.00881
2025-05-05,겨울,0.01576
2025-05-06,겨울,0.01363
2025-05-07,겨울,0.01632
2025-05-08,겨울,0.01743
2025-05-09,겨울,0.01632
2025-05-10,겨울,0.01326
2025-05-11,겨울,0.01502
2025-05-12,겨울,0.01465
2025-05-13,겨울,0.01372
2025-05-14,겨울,0.0127
2025-05-15,겨울,0.01697
2025-05-16,겨울,0.01623
2025-05-17,겨울,0.0114
2025-05-18,겨울,0.01669
2025-05-19,겨울,0.01651
2025-05-20,겨울,0.01641
2025-05-21,겨울,0.01845
2025-05-22,겨울,0.01576
2025-05-23,겨울,0.01474
2025-05-24,겨울,0.01391
2025-05-25,겨울,0.01345
2025-05-26,겨울,0.01539
2025-05-27,겨울,0.01651
2025-05-28,겨울,0.01391
2025-05-29,겨울,0.01614
2025-05-30,겨울,0.0153
2025-05-31,겨울,0.01614
2025-06-01,겨울,0.01354
2025-06-02,겨울,0.01484
2025-06-03,겨울,0.01243
2025-06-04,겨울,0.01437
2025-06-05,겨울,0.01595
2025-06-06,겨울,0.01224
2025-06-07,겨울,0.01372
2025-06-08,겨울,0.01716
2025-06-09,겨울,0.01966
2025-06-10,겨울,0.01697
2025-06-11,겨울,0.01966
2025-06-12,겨울,0.0166
2025-06-13,겨울,0.01586
2025-06-14,겨울,0.014
2025-06-15,겨울,0.01576
2025-06-16,겨울,0.01651
2025-06-17,겨울,0.02115
2025-06-18,겨울,0.01873
2025-06-19,겨울,0.02198
2025-06-20,겨울,0.0191
2025-06-21,겨울,0.01614
2025-06-22,겨울,0.01651
2025-06-23,겨울,0.01688
2025-06-24,겨울,0.0179
2025-06-25,겨울,0.01512
2025-06-26,겨울,0.01753
2025-06-27,겨울,0.01576
2025-06-28,겨울,0.01929
2025-06-29,겨울,0.01827
2025-06-30,겨울,0.02161
2025-07-01,겨울,0.02421
2025-07-02,겨울,0.02319
2025-07-03,겨울,0.01957
2025-07-04,겨울,0.02012
2025-07-05,겨울,0.01706
2025-07-06,겨울,0.01938
2025-07-07,겨울,0.02569
2025-07-08,겨울,0.02857
2025-07-09,겨울,0.02346
2025-07-10,겨울,0.02207
2025-07-11,겨울,0.02207
2025-07-12,겨울,0.01855
2025-07-13,겨울,0.01873
2025-07-14,겨울,0.02003
2025-07-15,겨울,0.01855
2025-07-16,겨울,0.01697
2025-07-17,겨울,0.01938
2025-07-18,겨울,0.01762
2025-07-19,겨울,0.01632
2025-07-20,겨울,0.01753
2025-07-21,겨울,0.01966
2025-07-22,겨울,0.01957
2025-07-23,겨울,0.02068
2025-07-24,겨울,0.0217
2025-07-25,겨울,0.02068
2025-07-26,겨울,0.01901
2025-07-27,겨울,0.02597
2025-07-28,겨울,0.02643
2025-07-29,겨울,0.02309
2025-07-30,겨울,0.02439
2025-07-31,겨울,0.02217
2025-08-01,겨울,0.02226
2025-08-02,겨울,0.0204
2025-08-03,겨울,0.02356
2025-08-04,겨울,0.02356
2025-08-05,겨울,0.02448
2025-08-06,겨울,0.02643
2025-08-07,겨울,0.02495
2025-08-08,겨울,0.02653
2025-08-09,겨울,0.02356
2025-08-10,겨울,0.02662
2025-08-11,겨울,0.02374
2025-08-12,겨울,0.02597
2025-08-13,겨울,0.02374
2025-08-14,겨울,0.02356
2025-08-15,겨울,0.02179
2025-08-16,겨울,0.02087
2025-08-17,겨울,0.02606
2025-08-18,겨울,0.03033
2025-08-19,겨울,0.0384
2025-08-20,겨울,0.03218
2025-08-21,겨울,0.03135
2025-08-22,겨울,0.032
2025-08-23,겨울,0.0256
2025-08-24,겨울,0.02894
2025-08-25,겨울,0.03886
2025-08-26,겨울,0.04146
2025-08-27,겨울,0.03441
2025-08-28,겨울,0.03645
2025-08-29,겨울,0.03645
2025-08-30,겨울,0.02875
2025-08-31,겨울,0.03033
2025-09-01,겨울,0.03599
2025-09-02,겨울,0.03812
2025-09-03,겨울,0.03617
2025-09-04,겨울,0.0358
2025-09-05,겨울,0.03274
2025-09-06,겨울,0.03033
2025-09-07,겨울,0.03024
2025-09-08,겨울,0.03525
2025-09-09,겨울,0.04127
2025-09-10,겨울,0.03432
2025-09-11,겨울,0.03627
2025-09-12,겨울,0.03311
2025-09-13,겨울,0.02458
2025-09-14,겨울,0.03153
2025-09-15,겨울,0.03107
2025-09-16,겨울,0.03534
2025-09-17,겨울,0.03849
2025-09-18,겨울,0.03691
2025-09-19,겨울,0.03942
2025-09-20,겨울,0.02912
2025-09-21,겨울,0.03033
2025-09-22,겨울,0.03589
2025-09-23,겨울,0.03506
2025-09-24,겨울,0.02903
2025-09-25,겨울,0.03395
2025-09-26,겨울,0.02857
2025-09-27,겨울,0.02782
2025-09-28,겨울,0.02977
2025-09-29,겨울,0.03302
2025-09-30,겨울,0.032
2025-10-01,겨울,0.03014
2025-10-02,겨울,0.03033
2025-10-03,겨울,0.02755
2025-10-04,겨울,0.02235
2025-10-05,겨울,0.02402
